lon,lat,square,cost,category,street,ward,district,city,date_created,date_modified,url
21.00833,105.79997,148,Secret,can-ho-ban-chung-cu-cao-cap-3530, ,Phường Trung Hoà,Quận Cầu Giấy,TP.Hà Nội,18.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/toi-ban-can-ho-chung-cu-ct4-vimeco-can-goc-dong-na-6218942
10.80343,106.74666,74,Secret,can-ho-ban-chung-cu-cao-cap-3530,628 Xa lộ Hà Nội ,Phường An Phú,Quận 2,TP.Hồ Chí Minh,12.10.2017,12.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/su-kien-mo-ban-ram-ro-nhat-thang-6298673
10.80801,106.73241,70,Secret,can-ho-ban-chung-cu-3529,100 Xa lộ Hà Nội ,Phường Thảo Ðiền,Quận 2,TP.Hồ Chí Minh,13.10.2017,13.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/tai-sao-ban-phai-tham-quan-du-an-masteri-an-phu-tr-6305090
20.42918,106.16611,80,16000.0,can-ho-cho-thue-chung-cu-cao-cap-3551,91 Điện Biên thành phố Nam Định ,Phường Cửa Bắc,Thành phố Nam Định,Nam Định,20.10.2017,,http://www.muabannhadat.vn/can-ho-cho-thue-chung-cu-cao-cap-3551/cho-thue-can-ho-cao-cap-nam-dinh-tower-6326850
10.75831,106.67092,62,Secret,can-ho-ban-chung-cu-cao-cap-3530,Nguyễn Tri Phương ,Phường 09,Quận 5,TP.Hồ Chí Minh,20.10.2017,19.01.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/mo-ban-can-ho-cao-cap-gia-mem-ho-tro-tra-gop-5392400
0.0,0.0,65,950,can-ho-ban-chung-cu-3529, ,Phường 01,Quận 8,TP.Hồ Chí Minh,10.10.2017,10.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-1-ty-ck-4-heaven-cityview-block-dep-nhat-du-6287569
21.00833,105.79997,72,Secret,can-ho-ban-chung-cu-3529, ,Phường Trung Hoà,Quận Cầu Giấy,TP.Hà Nội,16.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-cac-can-ho-chung-cu-vinhomes-d-capitale-tran-d-6233169
21.00833,105.79997,124,Secret,can-ho-ban-chung-cu-3529, ,Phường Trung Hoà,Quận Cầu Giấy,TP.Hà Nội,16.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-chung-cu-ct4-vimeco-can-5a-dien-tich-123m2-gia-6243604
10.80397,106.74300,72,Secret,can-ho-ban-chung-cu-cao-cap-3530,Xa lộ Hà Nội Hồ Chí Minh ,Phường An Phú,Quận 2,TP.Hồ Chí Minh,11.10.2017,11.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-cao-cap-voi-nhieu-tien-ich-xung-quanh-tai-t-6291105
20.42896,106.16611,72,Secret,can-ho-ban-chung-cu-3529,"Số 91, Đường Điện Biên, Phường Cửa Bắc, Thành Phố Nam Định ",Phường Cửa Bắc,Thành phố Nam Định,Nam Định,14.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ban-can-ho-chung-cu-toa-nam-dinh-tower-25t-6301243
